"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","W4Efsd 7","W4Efsd 8","W4Efsd 9","FQ2IWe src","ah5Ghc","W6VQef","M4A5Cf","ah5Ghc 2","fontBodyMedium","EgL07d src","R8c4Qb"
"https://www.google.com/maps/place/muscle+factory+unisex+gym/data=!4m7!3m6!1s0x3bd1d74ff6bc330b:0x3b8bf9e943549b6d!8m2!3d19.1780091!4d77.3077675!16s%2Fg%2F11fkbzcxcd!19sChIJCzO89k_X0TsRbZtUQ-n5izs?authuser=0&hl=en&rclk=1","muscle factory unisex gym","4.7","(64)","·","Gym","·","Kailash Nagar Rd, opp. gajanan mandir","·","Closed","⋅ Opens 6AM Sat","","","https://lh5.googleusercontent.com/p/AF1QipMFep7P1_DQW1W08s8YYtJoQtLhoIlWPaumbnW8=w122-h92-k-no","","","","","","",""
"https://www.google.com/maps/place/Kalyankar's+gym/data=!4m7!3m6!1s0x3bd1d72a7a5ef5df:0x51ccbd208fe4bb4c!8m2!3d19.1973818!4d77.2946258!16s%2Fg%2F11r_g3r2pc!19sChIJ3_VeeirX0TsRTLvkjyC9zFE?authuser=0&hl=en&rclk=1","Kalyankar's gym","4.6","(48)","·","Fitness center","·","Shivshakti complex, Taroda (kh, Nanded Malegaon Rd, near SBI bank","·","Closed","⋅ Opens 5AM Sat","","","https://lh5.googleusercontent.com/p/AF1QipP0GujMrhbeRiKrjrF080kxsPbKbz0Hvson2c3V=w122-h92-k-no","","","","","","",""
"https://www.google.com/maps/place/The+vivansh+health+club/data=!4m7!3m6!1s0x3bd1d70a0944cb25:0xae8d8a8f5d3f6a7!8m2!3d19.167425!4d77.3158414!16s%2Fg%2F11h_d4lj10!19sChIJJctECQrX0TsRp_bT9ajY6Ao?authuser=0&hl=en&rclk=1","The vivansh health club","4.7","(105)","·","Gym","·","Near market committee back side","·","Closes soon","⋅ 10:22PM ⋅ Opens 5:24AM Sat","","","https://lh5.googleusercontent.com/p/AF1QipMwJU08UpjbCRWGuUh5FmwX31MmwR3WBVZjaCWK=w80-h106-k-no","","","","","","",""
"https://www.google.com/maps/place/Gold%E2%80%99s+Gym+Nanded/data=!4m7!3m6!1s0x3bd1d76b218b60ef:0x16a2cdc75b8b2387!8m2!3d19.1706884!4d77.3185958!16s%2Fg%2F11h5lx_9yg!19sChIJ72CLIWvX0TsRhyOLW8fNohY?authuser=0&hl=en&rclk=1","Gold’s Gym Nanded","4.6","(40)","·","Gym","·","Anand Nagar Road Opposite Of Ravi Traders, near Rajarshi Shahu School","·","Closed","⋅ Opens 6AM Sat","","","https://lh5.googleusercontent.com/p/AF1QipM6i_ZohPan2BUipN-TiI3PDjYx8zsEmgcx_M0n=w80-h92-k-no-pi-0-ya85.39999-ro-0-fo100","","","","","","",""
"https://www.google.com/maps/place/Kesari+fitness+club/data=!4m7!3m6!1s0x3bd1d78f01c4c625:0x9b8b245162c595dc!8m2!3d19.129018!4d77.3024216!16s%2Fg%2F11fs2km2l9!19sChIJJcbEAY_X0TsR3JXFYlEki5s?authuser=0&hl=en&rclk=1","Kesari fitness club","4.8","(45)","·","Gym","·","Shivneri Nagar mama chauk, near nagarajuna public school","·","Closed","⋅ Opens 6AM Sat","","","https://lh5.googleusercontent.com/p/AF1QipMs1U_RFHJOI58tTKaYE4MdRgIJL3k4D2TLdfDx=w80-h106-k-no","On-site services not available","·","","","","",""
"https://www.google.com/maps/place/Shivfit+extreme+gym/data=!4m7!3m6!1s0x3bd1d7600cf1d423:0x898f9c611a26ade8!8m2!3d19.1670796!4d77.3084455!16s%2Fg%2F11j437b6j4!19sChIJI9TxDGDX0TsR6K0mGmGcj4k?authuser=0&hl=en&rclk=1","Shivfit extreme gym","4.5","(74)","·","Gym","·","Stadium Rd, opposite swimming pool","·","Closed","⋅ Opens 6AM Sat","","","https://lh5.googleusercontent.com/p/AF1QipO4FbNhszW4WpcQNGcUC5PNYO4PbAIuqBTBG3LH=w122-h92-k-no","","","","","","",""
"https://www.google.com/maps/place/Vicky's+Gym+%26+Fitness+Center/data=!4m7!3m6!1s0x3bce29f9ff09e5d7:0xdf9679c0980c2ba7!8m2!3d19.1131629!4d77.292075!16s%2Fg%2F11cr_r6wqx!19sChIJ1-UJ__kpzjsRpysMmMB5lt8?authuser=0&hl=en&rclk=1","Vicky's Gym & Fitness Center","4.7","(119)","·","Gym","·","Front of Sggs college Trilok-meet Bhawn 2nd floor","·","Closed","⋅ Opens 5:30AM Sat","","","https://lh5.googleusercontent.com/p/AF1QipMT2keOT0prOZ02EmsQsunKOT8-eesUJny48fYF=w163-h92-k-no","Online classes","·","","","","",""
"https://www.google.com/maps/place/GNX+Fitness+(+Bhagya+Nagar+)/data=!4m7!3m6!1s0x3bd1d761226bf2c5:0x89c0f82e51e9f72f!8m2!3d19.1754698!4d77.3115488!16s%2Fg%2F11j33gtnr1!19sChIJxfJrImHX0TsRL_fpUS74wIk?authuser=0&hl=en&rclk=1","GNX Fitness ( Bhagya Nagar )","4.6","(68)","·","Gym","·","2nd floor , Kishor deep complex","·","Closed","⋅ Opens 6AM Sat","","","https://lh5.googleusercontent.com/p/AF1QipOWktJO3EqtHzye0XfLLVjYU5DI2cGNljkEVICg=w198-h92-k-no","","","","","","",""
"https://www.google.com/maps/place/Elite+fitness+Exclusive+for+ladies/data=!4m7!3m6!1s0x3bd1d7cbab5531bd:0xf2e08ef82ecd9c6d!8m2!3d19.1727023!4d77.3301354!16s%2Fg%2F11fpkhl7p_!19sChIJvTFVq8vX0TsRbZzNLviO4PI?authuser=0&hl=en&rclk=1","Elite fitness Exclusive for ladies","4.5","(26)","·","Fitness center","·","3RD & 4TH FLOOR, ITI Rd, above SHAYM KIRANA Super Market, next to Govt Rest House","·","Closed","⋅ Opens 6AM Sat","","","https://lh5.googleusercontent.com/p/AF1QipOAZAS57TtjMptTYaxH_cYy1Dn0DLPrZGGqsptw=w122-h92-k-no","","","","","","",""
"https://www.google.com/maps/place/A%2B+Gym+And+Unisex+Fitness+Center/data=!4m7!3m6!1s0x3bce29b77a207cc1:0x4116dd42cd141dfc!8m2!3d19.0999859!4d77.3215735!16s%2Fg%2F11g6_7cy7h!19sChIJwXwgercpzjsR_B0UzULdFkE?authuser=0&hl=en&rclk=1","A+ Gym And Unisex Fitness Center","4.5","(36)","·","Gym","·","38XC+XJW","·","Closed","⋅ Opens 5AM Sat","","","https://lh5.googleusercontent.com/p/AF1QipO36v7XSUm1CmV1dVBeZvNUvEURdvkN7C6ugY97=w122-h92-k-no","","","","","","",""
